OBJECTID,WATMAINID,STATUS,PRESSURE_ZONE,ROADSEGMENTID,MAP_LABEL,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_DATE,LINED_MATERIAL,INSTALLATION_DATE,ACQUISITION,CONSULTANT,OWNERSHIP,BRIDGE_MAIN,BRIDGE_DETAILS,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,UNDERSIZED,SHALLOW_MAIN,CONDITION_SCORE,OVERSIZED,CLEANED,GlobalID,Shape__Length
77753,10080,ACTIVE,KIT 6,5457,34.2m 450mm  DI,TREATED,450,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,N,c2faf3bd-456a-4624-83a8-1f2a4eb4be61,34.2105629728948
77754,76299,ACTIVE,KIT 4,6390,.4m 300mm  DI,TREATED,300,DI,NO,,NONE,1968/07/01 00:00:00+00,PURCHASED,,REGION,N,,7,1,4,N,N,8.5,N,N,fad6b5c1-e295-410f-bdff-cddad2a0dbf3,0.355117671105161
77755,10110,ACTIVE,KIT 6,5393,67.9m 450mm  DI,TREATED,450,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,7,6,8,N,N,6.1,N,Y,5083cd35-d33d-4b33-90e2-e0ac8e99fd05,67.852910448331
77756,82566,ACTIVE,KIT 6,5393,7m 450mm  DI,TREATED,450,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,4.58,N,Y,a568ade7-fdcc-416f-9477-5e4c5b7fcad5,7.03932838683089
77757,82568,ACTIVE,KIT 6,5394,15m 450mm  DI,TREATED,450,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,Y,b2d95def-82f1-4375-b032-a6d507be3b99,14.956130761421
77758,10090,ACTIVE,KIT 6,5402,38.5m 450mm  DI,TREATED,450,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,Y,59e9f9fe-8efb-46cc-9dd6-8e30102a2a49,38.5268909037991
77759,82570,ACTIVE,KIT 6,5456,12.5m 450mm  DI,TREATED,450,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,7,N,N,8.5,N,N,89b1fb9c-a3b4-42bf-b60e-fada8f7902a7,12.4519639246543
77760,10030,ACTIVE,KIT 6,21108,125m 450mm  DI,TREATED,450,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,7,6,7,N,N,8.5,N,N,b69e3a9c-6fbe-413a-ba87-c0d7666c604c,124.970064901045
77761,10100,ACTIVE,KIT 6,5396,55.7m 450mm  DI,TREATED,450,DI,NO,,NONE,1979/01/01 00:00:00+00,DONATED,,DUAL CITY AND REGION,N,,6,6,8,N,N,8.5,N,Y,29dd9bd7-e6b0-4dd0-b285-3fc9d44abd62,55.671581169996
77762,81620,ACTIVE,KIT 2W,102861,63.9m 300mm  PVC,TREATED,300,PVC,NO,,NONE,2015/01/06 00:00:00+00,PURCHASED,MTE CONSULTANTS INC.,KITCHENER,N,,0,5,46,N,N,9.35,N,N,24eb0918-b2bb-45d6-972a-6473ac841061,63.9485848398879
77764,60080,ACTIVE,KIT 4,12102,98.1m 300mm  PVC,TREATED,300,PVC,NO,,NONE,1997/09/01 00:00:00+00,DONATED,,KITCHENER,N,,7,4,18,N,N,9.35,N,N,ba2f4f9e-d092-488b-a4ad-0082734f85a9,98.0832805701851
77765,61904,ACTIVE,KIT 2W,22070,141.5m 300mm  DI,TREATED,300,DI,NO,,NONE,1977/03/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,5,33,N,N,8.5,N,N,a029b935-dbc2-4bfd-920f-8e31d68dd3d2,141.533052012408
77766,25690,ACTIVE,KIT 4,10351,42.7m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1976/11/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,15,N,N,9.35,N,N,ee87d256-0ce8-4c70-87cf-5fe5f489c9d3,42.7365942209405
77767,82572,ACTIVE,KIT 4,10351,12.2m 150mm  PVC,TREATED,150,PVC,NO,,NONE,1976/11/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,15,N,N,9.35,N,N,bf43ce76-4b3e-46f8-8b41-0715452395aa,12.1917414998642
77768,74030,ACTIVE,KIT 6,600867,69.6m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2006/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,39,N,N,9.35,N,Y,7aebe3f7-e265-4ef2-8567-1fb3d60c873c,69.5697443098412
77769,82574,ACTIVE,KIT 6,600867,8.4m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2006/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,39,N,N,9.35,N,Y,fd24873b-ec9c-4718-90a5-3b56c8b67b94,8.44509625213796
77770,82576,ACTIVE,KIT 5,601282,8.8m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2006/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,25,N,N,9.35,N,Y,88555a3d-da38-4493-8310-f68d10362cc1,8.7890176020329
77771,82578,ACTIVE,KIT 5,601282,8.3m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2006/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,24,N,N,9.35,N,Y,7538472d-e4b7-4743-a897-3556d52eb019,8.32157024593635
77772,70850,ACTIVE,KIT 5,601282,176.7m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2006/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,6,25,N,N,9.35,N,Y,6b53d37a-59eb-479d-a7f8-3ad9bdd932ef,176.655377255589
77773,82580,ACTIVE,KIT 4,6626,1.1m 300mm  PVC,TREATED,300,PVC,NO,,NONE,2001/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,3,N,N,9.35,N,N,76150ec0-d015-4b7b-a62a-9c70f5e4dfce,1.12320285347848
77776,82584,ACTIVE,KIT 2W,600356,21.3m 300mm  PVC,TREATED,300,PVC,NO,,NONE,2003/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,5,35,N,N,9.35,N,N,2847810a-4584-4ded-bf6c-57c2c2bbab8d,21.3395426072407
77777,69550,ACTIVE,KIT 2W,600356,196.9m 300mm  PVC,TREATED,300,PVC,NO,,NONE,2003/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,5,35,N,N,9.35,N,N,3ce1f109-db10-4cad-bc5d-b05b1dd9d945,196.859012719462
77778,82586,ACTIVE,KIT 4,9387,3.7m 150mm  DI,TREATED,150,DI,NO,,NONE,1995/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,5,5,N,N,9.1,N,N,71d968c2-9249-4c09-9585-440081b52513,3.7371340158361
77779,76806,ACTIVE,KIT 4,9387,5m 150mm  DI,TREATED,150,DI,NO,,NONE,1995/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,1,12,N,N,9.1,N,N,56ec939d-7541-4817-a721-b7d6aea7f347,4.99295177500279
77780,59320,ACTIVE,KIT 4,1730,92.7m 300mm  DI,TREATED,300,DI,NO,,NONE,1996/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,25,N,N,9.1,N,N,44c872bb-e7da-4fe6-ba70-8697d34bd2b5,92.696164797707
77781,82588,ACTIVE,KIT 4,15908,7.6m 200mm  DI,TREATED,200,DI,NO,,NONE,1966/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,14,N,N,8.5,N,N,ffa66cf6-40de-4640-85f8-e59e17a85196,7.6197389350217
77782,5610,ACTIVE,KIT 4,15908,91.2m 200mm  DI,TREATED,200,DI,NO,,NONE,1966/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,14,N,N,4.7,N,N,b1a4b8a5-769a-4cb9-9738-77793d94a978,91.2020221142905
77783,82590,ACTIVE,KIT 2EA,40224,18m 250mm  PVC,TREATED,250,PVC,NO,,NONE,1998/06/01 00:00:00+00,DONATED,,KITCHENER,N,,5,5,27,N,N,9.35,N,N,3e6aff23-f500-4658-b7a1-10ee762fffa5,17.9611672229995
77784,61120,ACTIVE,KIT 2EA,40224,258.4m 250mm  PVC,TREATED,250,PVC,NO,,NONE,1998/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,28,N,N,9.35,N,N,87308714-b4eb-4229-bdca-4e87b2393326,258.439482892856
77785,25470,ACTIVE,KIT 4,10370,156m 150mm  DI,TREATED,150,DI,NO,,NONE,1981/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,5,4,15,N,N,8.5,N,N,e8e00656-f4ec-4e80-9e1f-4e80693c44d6,156.021688028756
77786,82592,ACTIVE,KIT 2W,21951,8.5m 150mm  DI,TREATED,150,DI,NO,,NONE,1980/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,0,N,N,8.5,N,N,0539a450-3861-4132-8f24-53f022436e00,8.53445434017783
77787,82594,ACTIVE,KIT 2W,21951,.8m 150mm  DI,TREATED,150,DI,NO,,NONE,1980/01/01 00:00:00+00,DONATED,,KITCHENER,N,,0,5,32,N,N,8.5,N,N,428eae72-bdc0-41d4-97c4-770604a625c1,0.752106907436349
77788,18170,ACTIVE,KIT 2W,21951,150.4m 150mm  DI,TREATED,150,DI,NO,,NONE,1980/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,32,N,N,8.5,N,N,faad6f20-5ce1-4d28-84d6-b1883363ac99,150.420304491366
77789,82596,ACTIVE,KIT 5,9722,16.8m 300mm  DI,TREATED,300,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,3,0,N,N,9.1,N,N,76c1f72f-7109-48f4-9053-1815edb7a264,16.7633207929942
77790,82598,ACTIVE,KIT 4,9722,14.3m 300mm  DI,TREATED,300,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,N,027decd8-5472-437c-bc64-19bc272e2e5e,14.3355531084652
77791,55120,ACTIVE,KIT 4,9722,101.7m 300mm  DI,TREATED,300,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,N,78777c96-57e4-4f26-9649-e4c90c4409dd,101.748376333877
77792,82600,ACTIVE,KIT 4,9722,13.2m 300mm  DI,TREATED,300,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,N,f07e6eed-5831-49e9-a728-5362b5a1016b,13.212334493422
77793,82602,ACTIVE,KIT 4,9722,91.4m 300mm  DI,TREATED,300,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,3,13,N,N,9.1,N,N,2de7edaa-f0ce-4104-9774-6981cf29b3c2,91.4371570758878
77794,82604,ACTIVE,KIT 4,9722,6.6m 300mm  DI,TREATED,300,DI,NO,,NONE,1990/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,0,3,13,N,N,9.1,N,N,1194f77b-c0fc-4e55-8db1-7d7f90d8f826,6.58077389995271
77795,82606,ACTIVE,KIT 4,600758,5.2m 200mm  DI,TREATED,200,DI,NO,,NONE,1995/05/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,27,N,N,9.1,N,N,f7f998ce-7e72-4a18-aed6-9c8ed089fca2,5.17758500471781
77796,57620,ACTIVE,KIT 4,600758,6.4m 200mm  DI,TREATED,200,DI,NO,,NONE,1995/05/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,27,N,N,9.1,N,N,ff9fb460-19f8-4410-a4bb-7de316012fb2,6.42995044117653
77799,67370,ACTIVE,KIT 4,600402,71.6m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2001/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,5,17,N,N,9.35,N,N,58201674-2cde-4be7-89fc-e9a567ad2b76,71.616813878608
77800,82610,ACTIVE,KIT 4,103013,18.9m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2001/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,5,17,N,N,9.35,N,N,20037589-7418-49fe-8b4a-cf7a5df359dc,18.8617180081409
77803,25740,ACTIVE,KIT 4,6315,198.6m 150mm  CI,TREATED,150,CI,NO,,NONE,1951/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,1,10,N,N,4.95,N,N,ef1623c3-59f0-4812-a59b-86473d493b78,198.637432559784
77805,82616,ACTIVE,KIT 2W,21792,7.2m 200mm  DI,TREATED,200,DI,NO,,NONE,1977/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,30,N,N,8.5,N,N,ed58cb35-8d66-4587-aa34-3e2b664986d1,7.16337855464204
77806,5460,ACTIVE,KIT 2W,21792,206.5m 200mm  DI,TREATED,200,DI,NO,,NONE,1977/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,30,N,N,8.5,N,N,a5a1560d-1892-4f45-a800-2ed89d054783,206.477449859051
77807,82618,ACTIVE,KIT 2W,21792,5.8m 200mm  DI,TREATED,200,DI,NO,,NONE,1977/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,30,N,N,8.5,N,N,39653c52-cc7f-4ef9-930b-5a729da92111,5.83761775996729
77808,82620,ACTIVE,KIT 4,10037,.5m 300mm  DI,TREATED,300,DI,NO,,NONE,2002/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,0,N,N,9.1,N,N,a326dfab-711b-469e-9e69-d26f27d01ad7,0.461306839306421
77809,68810,ACTIVE,KIT 4,13168,61.2m 300mm  DI,TREATED,300,DI,NO,,NONE,2002/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,0,N,N,9.1,N,N,797cabc8-68cc-4a32-9544-0cbedf37ceb1,61.1732254428792
77811,35240,ACTIVE,KIT 4,20982,5.3m 150mm  CI,TREATED,150,CI,NO,,NONE,1950/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,1,9,N,N,7.75,N,N,eff1fbb4-11e2-4709-b63f-378ffae76c87,5.34080898218031
77812,33360,ACTIVE,KIT 4,9215,33.5m 300mm  CI,TREATED,300,CI,NO,,NONE,1951/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,2,11,N,N,7.75,N,N,60a19e8b-0921-421d-af71-86d1c9ad242f,33.5307498642632
77813,82622,ACTIVE,KIT 4,10726,12m 150mm  CI,TREATED,150,CI,NO,,NONE,1954/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,10,N,N,7.75,N,N,d6cf0552-ec71-42d2-bd24-0ac3c5c588f7,12.0396003261558
77814,43940,ACTIVE,KIT 4,10727,89.5m 150mm  CI,TREATED,150,CI,NO,,NONE,1954/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,12,N,N,7.75,N,N,b5a9b5a0-19c1-4ff8-a995-239f09507e60,89.488207947105
77815,5110,ACTIVE,KIT 4,8634,58.7m 100mm  CI,TREATED,100,CI,NO,,NONE,1955/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,1,19,N,N,3.83,N,N,e64518ff-fea8-4fbf-ae92-e6ef6468797c,58.6602396773349
77816,76876,ACTIVE,KIT 4,11304,122.4m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2009/09/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,3,N,N,9.35,N,N,b5833c9d-3a81-4cff-a282-c00bdaa6dc41,122.400017099257
77817,82624,ACTIVE,KIT 4,11304,3.8m 200mm  PVC,TREATED,200,PVC,NO,,NONE,2009/09/01 00:00:00+00,PURCHASED,,KITCHENER,N,,0,2,21,N,N,9.35,N,N,0bc0bb76-5726-4fe4-a534-1e61ad438571,3.7830281026879
77818,82626,ACTIVE,KIT 2W,601483,7.5m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2005/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,40,N,N,9.35,N,N,e878dfcf-21e1-4561-915c-6d0e64e4d7db,7.53770445741799
77819,72280,ACTIVE,KIT 2W,601483,89m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2005/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,5,40,N,N,9.35,N,N,77e528ef-37ee-494e-8721-9bf15eac85f2,88.9678729099633
77820,3720,ACTIVE,KIT 4,6455,69.6m 150mm  DI,TREATED,150,DI,NO,,NONE,1969/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,3,2,N,N,8.5,N,N,d1110c94-9590-4bad-918d-4039efe3c31a,69.5514928850706
77821,82628,ACTIVE,KIT 4,6455,7.6m 150mm  DI,TREATED,150,DI,NO,,NONE,1969/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,2,N,N,8.5,N,N,7f5be04e-1dcf-4114-966f-ab894a2aba4c,7.62112895044281
77822,82630,ACTIVE,KIT 4,9444,9.2m 200mm  DI,TREATED,200,DI,NO,,NONE,1995/10/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,10,N,N,9.1,N,N,0b5b09c4-8853-4ba6-b23e-a73a5855e7ed,9.19804957017507
77823,61390,ACTIVE,KIT 4,40132,60.8m 200mm  DI,TREATED,200,DI,NO,,NONE,1995/10/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,10,N,N,9.1,N,N,3016e456-040b-44cb-bf0b-affdec59e577,60.7875662868977
77824,21110,ACTIVE,KIT 4,13180,101.2m 200mm  DI,TREATED,200,DI,NO,,NONE,1966/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,25,N,N,6.9,N,N,1c7f29c1-ff9a-4c22-8531-7cd7cfdc0e11,101.165703450678
77825,82632,ACTIVE,KIT 4,9741,13.5m 300mm  DI,TREATED,300,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,8,N,N,8.5,N,N,a21be449-2f7f-44c1-beeb-640533f68a1a,13.4854170072899
77826,37660,ACTIVE,KIT 4,9741,71.3m 300mm  DI,TREATED,300,DI,NO,,NONE,1978/01/01 00:00:00+00,DONATED,,KITCHENER,N,,7,3,8,N,N,8.5,N,N,1aa71765-10ae-45bf-972d-82f23f515a1e,71.3214165072336
77827,10820,ACTIVE,KIT 5,9555,69.3m 300mm  DI,TREATED,300,DI,NO,,NONE,1974/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,21,N,N,8.5,N,N,7e56dcee-e21b-4595-b7b0-cc44963e119c,69.3211487464135
77828,6320,ACTIVE,KIT 4,15789,28m 150mm  DI,TREATED,150,DI,NO,,NONE,1969/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,4,13,N,N,8.5,N,N,df989e6f-3114-4690-b143-92a302ba4e8f,27.986326723977
77829,61873,ACTIVE,KIT 4,8742,125.6m 450mm  DI,UNTREATED,450,DI,NO,,NONE,1965/01/01 00:00:00+00,DONATED,,REGION,N,,0,2,8,N,Y,6.45,N,N,e4a88a4b-d1ef-4a57-bd9f-0012935221ba,125.628758605879
77830,4650,ACTIVE,KIT 4,22515,208.3m 200mm  DI,TREATED,200,DI,NO,,NONE,1985/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,26,N,N,9.1,N,N,f924a053-2dea-490f-8f1e-5055fc16b712,208.250577432994
77831,82634,ACTIVE,KIT 4,22515,7.7m 200mm  DI,TREATED,200,DI,NO,,NONE,1985/06/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,26,N,N,9.1,N,N,aaeb4ca5-42f5-4c07-8425-50c148813f1d,7.66930081746306
77832,82636,ACTIVE,KIT 4,10261,6.1m 300mm  DI,TREATED,300,DI,NO,,NONE,1981/10/01 00:00:00+00,DONATED,,KITCHENER,N,,7,4,0,N,N,8.5,N,N,5e49ce83-3a1e-4a10-8cb7-5d15798dce60,6.0960767059228
77833,35160,ACTIVE,KIT 4,10261,18.3m 300mm  DI,TREATED,300,DI,NO,,NONE,1981/10/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,0,N,N,8.5,N,N,49725846-f519-4761-9c6c-d8b15afa644f,18.3465366704289
77834,81000,ACTIVE,KIT 4,6674,8.7m 300mm  DI,TREATED,300,DI,NO,,NONE,1991/09/01 00:00:00+00,PURCHASED,,KITCHENER,N,,8,2,31,N,N,9.1,N,N,d3292a95-f56c-4a5f-af5e-01b134ae28f6,8.73063480392828
77835,76152,ACTIVE,KIT 4,8528,9.1m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2009/04/14 00:00:00+00,PURCHASED,,KITCHENER,N,,6,1,24,N,N,9.35,N,N,68152d77-8806-4a2c-967e-f3078cc3a800,9.05249360204567
77836,82638,ACTIVE,KIT 6,21077,22.9m 200mm  DI,TREATED,200,DI,NO,,NONE,1985/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,6,N,N,9.1,N,N,7e7bdeba-c942-481a-937b-76a93535455f,22.8598568541356
77837,27750,ACTIVE,KIT 6,21077,58.7m 200mm  DI,TREATED,200,DI,NO,,NONE,1985/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,6,6,N,N,9.1,N,N,4c0a0851-98a1-4188-a9a6-aec8a1bf1fa2,58.7498827562769
77838,13520,ACTIVE,KIT 6,21746,3.1m 150mm  DI,TREATED,150,DI,NO,,NONE,1986/04/15 00:00:00+00,DONATED,,REGION,N,,6,6,0,N,N,9.1,N,Y,6b938083-70fc-4541-b6e1-522658bc0904,3.13356972182598
77839,82640,ACTIVE,KIT 6,21746,1.4m 150mm  DI,TREATED,150,DI,NO,,NONE,1986/04/15 00:00:00+00,DONATED,,REGION,N,,0,6,0,N,N,9.1,N,Y,30082528-032f-47a2-be6c-2e16a9e43b09,1.42029387405289
77840,82642,ACTIVE,KIT 4,10756,17.9m 200mm  CI,TREATED,200,CI,NO,,NONE,1967/09/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,5,17,N,N,7.85,N,N,0ba8fb34-13fe-4d14-81f7-5223816007ee,17.8777072448309
77841,18000,ACTIVE,KIT 4,10756,209.9m 200mm  CI,TREATED,200,CI,NO,,NONE,1967/09/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,5,17,N,Y,4.6,N,N,b7b5f8d2-f5e4-4f49-ab12-66bdc39b77e0,209.861418383568
77842,82644,ACTIVE,KIT 4,10756,12.9m 200mm  CI,TREATED,200,CI,NO,,NONE,1967/09/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,5,17,N,N,7.85,N,N,d8aa605e-5c6d-4730-8613-c291d164b1e2,12.8550743175607
77843,82646,ACTIVE,KIT 4,5864,3.8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2004/06/01 00:00:00+00,DONATED,,KITCHENER,N,,7,2,6,N,N,9.35,N,N,301aea90-8a9e-443f-a8a3-327a355f3448,3.84192408560368
77844,82648,ACTIVE,KIT 4,5869,30.8m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2004/06/01 00:00:00+00,DONATED,,KITCHENER,N,,7,2,7,N,N,9.35,N,N,736bdb55-a7d4-4f0b-8efe-4e35ad683961,30.7711776895556
77845,82650,ACTIVE,KIT 4,5869,1.9m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2004/06/01 00:00:00+00,DONATED,,KITCHENER,N,,0,2,7,N,N,9.35,N,N,033f9f3d-fdd3-46f5-b951-1fdc697b45a3,1.90142670631971
77846,63200,ACTIVE,KIT 4,5869,35.9m 150mm  PVC,TREATED,150,PVC,NO,,NONE,2004/06/01 00:00:00+00,DONATED,,KITCHENER,N,,7,2,7,N,N,9.35,N,N,e8715708-5481-4435-bbc4-71d83dca0f2a,35.8509652281732
77847,82652,ACTIVE,KIT 4,9446,8m 150mm  DI,TREATED,150,DI,NO,,NONE,1993/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,10,N,N,9.1,N,N,8646fdaa-110d-46dc-ba35-2874735227e1,7.99427576195268
77848,82654,ACTIVE,KIT 4,9446,121.2m 150mm  DI,TREATED,150,DI,NO,,NONE,1993/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,10,N,N,9.1,N,N,a814a011-dbca-4886-aaa4-668b0875dcb3,121.220125677817
77849,55200,ACTIVE,KIT 4,9446,156.2m 150mm  DI,TREATED,150,DI,NO,,NONE,1993/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,10,N,N,9.1,N,N,64ecf94b-ac06-4695-b895-2259ad0c0350,156.239881225715
77850,82656,ACTIVE,KIT 4,9446,140.8m 150mm  DI,TREATED,150,DI,NO,,NONE,1993/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,10,N,N,9.1,N,N,80b0375f-07ac-46a8-9429-7ae8f3ff0309,140.776399070659
77851,82658,ACTIVE,KIT 4,9446,8.4m 150mm  DI,TREATED,150,DI,NO,,NONE,1993/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,3,9,N,N,9.1,N,N,fa028be8-90c5-471b-8f70-e66678c0b028,8.38033179244448
77852,61828,ACTIVE,KIT 4,23220,45.3m 200mm  DI,TREATED,200,DI,NO,,NONE,1967/01/01 00:00:00+00,DONATED,,KITCHENER,N,,5,4,23,N,N,5.3,N,N,80db24f1-1c22-4c61-954d-37f094a5e356,45.3044384496188
77853,82660,ACTIVE,KIT 4,10044,11.9m 150mm  CI,TREATED,150,CI,NO,,NONE,1954/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,10,N,N,7.75,N,N,b092ea4d-1b2e-47c2-9280-6892754bcba5,11.8872410596228
77854,31180,ACTIVE,KIT 4,10044,168.4m 150mm  CI,TREATED,150,CI,NO,,NONE,1954/01/01 00:00:00+00,DONATED,,KITCHENER,N,,6,4,10,N,Y,4.1,N,N,7652a37a-2405-4257-82b3-feb058d56aeb,168.377487709454
77855,82662,ACTIVE,KIT 4,10892,1.4m 200mm  DI,TREATED,200,DI,NO,,NONE,1977/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,5,5,N,N,8.5,N,N,7b878b94-e4b9-4ac3-8df0-a5bfb590fa39,1.37645148554938
77856,82664,ACTIVE,KIT 4,10892,9.5m 200mm  DI,TREATED,200,DI,NO,,NONE,1977/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,5,5,N,N,8.5,N,N,bd38c101-0687-4599-84b9-440e50e168e5,9.48936206718531
77857,5680,ACTIVE,KIT 4,10892,229.7m 200mm  DI,TREATED,200,DI,NO,,NONE,1977/01/01 00:00:00+00,PURCHASED,,KITCHENER,N,,8,5,5,N,N,8.5,N,N,fbc5350e-f009-4d71-98d0-8b1aaab004cd,229.680646717216
77858,5950,ACTIVE,KIT 4,6645,174.6m 300mm  DI,TREATED,300,DI,NO,,NONE,1984/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,7,2,3,N,N,9.1,N,N,e06f4be8-0dd0-424a-b1de-006c50cf79d0,174.563474016058
77859,82666,ACTIVE,KIT 4,6645,.5m 300mm  DI,TREATED,300,DI,NO,,NONE,1984/06/01 00:00:00+00,PURCHASED,,KITCHENER,N,,6,2,3,N,N,9.1,N,N,ed84eb0a-a046-4d57-8f02-337e26fecf73,0.489813689149053
77860,82668,ACTIVE,KIT 5,601322,13m 300mm  PVC,TREATED,300,PVC,NO,,NONE,2007/12/13 00:00:00+00,DONATED,NA,KITCHENER,N,,6,6,24,N,N,9.35,N,Y,52edc670-4725-4f2e-bf8c-3b7d0d201391,13.0237823833453
77861,69140,ACTIVE,KIT 5,601322,58.4m 300mm  PVC,TREATED,300,PVC,NO,,NONE,2003/04/08 00:00:00+00,DONATED,NA,KITCHENER,N,,6,6,25,N,N,9.35,N,Y,06052166-686a-45a9-a862-225c09159a72,58.407289212112
